WORKFORCE SIGNALS DASHBOARD,,,,,,,
Environmental Management Skills Taxonomy — Pre-Delphi Analysis Summary,,,,,,,
,,,,,,,
PROFESSIONAL CRAFT DISTRIBUTION,,,,,,,
Irreducible contribution type across all 215 competencies,,,,,,,
Craft,Count,% of Total,,,,,
SC,89,41.4,,,,,
DC,77,35.8,,,,,
FC,49,22.8,,,,,
,,,,,,,
,,,,,,,
WORKFLOW STAGE PRIMARY DISTRIBUTION,,,,,,,
Primary stage concentration (including dual-primary exceptions),,,,,,,
Stage,Primary Tag Count,,,,,,
S1,107,,,,,,
S4,45,,,,,,
S5,34,,,,,,
S2,15,,,,,,
S3,11,,,,,,
S6,3,,,,,,
,,,,,,,
,,,,,,,
COMPETENCY STABILITY TIERS,,,,,,,
Stable=foundational/durable | Transition=reform-sensitive | Emergent=new territory,,,,,,,
Tier,Count,,,,,,
Transition,110,,,,,,
Stable,90,,,,,,
Emergent,15,,,,,,
,,,,,,,
,,,,,,,
PROFESSION FAMILY CORE COVERAGE,,,,,,,
Number of competencies designated Core for each profession family,,,,,,,
Profession Family,Core Competency Count,,,,,,
Environmental Data Science,34,,,,,,
Conservation Science,25,,,,,,
Environmental Policy,23,,,,,,
Conservation Finance,16,,,,,,
Sustainable Agriculture,14,,,,,,
Land Use Planning,13,,,,,,
Ecological Restoration,12,,,,,,
Corporate Sustainability,11,,,,,,
Forestry,11,,,,,,
Wildlife & Fisheries,10,,,,,,
Climate Science,10,,,,,,
Environmental Education,10,,,,,,
Water Resources,9,,,,,,
Environmental Health & Justice,9,,,,,,
Fire Management,9,,,,,,
,,,,,,,
,,,,,,,
REFORM SENSITIVITY BY DOMAIN,,,,,,,
Count of reform sensitivity flags per domain (competencies may carry multiple flags),,,,,,,
Domain #,Reform: NEPA Timeline,Reform: Digital Permitting,Reform: CatEx Scope,Reform: Consultation,Reform: One Federal Decision,Reform: S2-S3 Boundary,Total Reform Flags
1,13,3,2,6,0,0,24
2,10,19,0,0,2,1,32
3,0,16,0,0,0,2,18
4,6,5,6,3,0,0,20
5,4,5,0,7,1,0,17
6,15,13,3,11,8,13,63
,,,,,,,
,,,,,,,
TASK 13: AI/ROBOTICS EXPOSURE CLASSIFICATION — DOMAIN 1 (COMPLETE),,,,,,,
,,,,,,,
Metric,Value,Notes,,,,,
Total tasks classified,120,40 competencies × 3 tasks,,,,,
Augmentation (A),104,87% of Domain 1 tasks,,,,,
Compressive Augmentation (Ac),5,4% — all in 1.6 Biotechnology & Genetics,,,,,
Human-Essential (H),9,7.5% — all on FC Primary competencies,,,,,
Substitution (S),0,Threshold not crossed in Domain 1,,,,,
Supervision (V),0,No V calls — task framing effect documented,,,,,
Vector: AI,111,92.5% of 120 tasks,,,,,
Vector: Ro/Cv,0,Zero physical robotics exposure in Domain 1,,,,,
Vector: None (H only),9,Human-Essential tasks,,,,,
Career ladder: P-position,11,9.2% of tasks — concentrated in 1.1–1.4 FC areas,,,,,
Career ladder: C-position,109,90.8% — dominant across domain,,,,,
Career ladder: X-position,0,Zero — all tasks written at practitioner-application register,,,,,
Career Ladder Destruction (CLD) signals,1,1.3.2 T3 — data entry Ac/Lo/P,,,,,
S-Trajectory Delphi flags,4,"1.6.1 T2, 1.6.2 T2 (PRIMARY), 1.6.3 T1, 1.6.3 T3",,,,,
Domain 1 classification status,COMPLETE,Ready for Domain 3,,,,,
